schoolName,schoolId,yearId,Url,Url1,Url2,state,district,latitude,longitude
"JAWAHAR NAVODAYA VIDYALAYA AHMEDABAD, VATVA CITY BLOCK",4254724,12,https://kys.udiseplus.gov.in/#/reportcard/4254724/12,https://kys.udiseplus.gov.in/#/reportcard/4254724/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4254724&yearId=10,GUJARAT,AHMEDABAD,23.0215374,72.5800568
"JAWAHAR NAVODAYA VIDYALAYA BANASKANTHA, DANTIWADA",4202099,12,https://kys.udiseplus.gov.in/#/reportcard/4202099/12,https://kys.udiseplus.gov.in/#/reportcard/4202099/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4202099&yearId=10,GUJARAT,BANAS KANTHA,24.2500000,72.5000000
"JAWAHAR NAVODAYA VIDYALAYA BALAGHAT, WARASEONI",3927923,12,https://kys.udiseplus.gov.in/#/reportcard/3927923/12,https://kys.udiseplus.gov.in/#/reportcard/3927923/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=3927923&yearId=10,MADHYA PRADESH,BALAGHAT,21.8611589,80.3237105
"JAWAHAR NAVODAYA VIDYALAYA CHHINDWARA, AMARWARA",3965472,12,https://kys.udiseplus.gov.in/#/reportcard/3965472/12,https://kys.udiseplus.gov.in/#/reportcard/3965472/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=3965472&yearId=10,MADHYA PRADESH,CHHINDWARA,22.2071897,78.7988330
"JAWAHAR NAVODAYA VIDYALAYA ASHOKNAGAR, ESAGARH",3964614,12,https://kys.udiseplus.gov.in/#/reportcard/3964614/12,https://kys.udiseplus.gov.in/#/reportcard/3964614/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=3964614&yearId=10,MADHYA PRADESH,ASHOKNAGAR,24.6186095,77.8786983
"JAWAHAR NAVODAYA VIDYALAYA SABARKANTHA, IDAR",4254930,12,https://kys.udiseplus.gov.in/#/reportcard/4254930/12,https://kys.udiseplus.gov.in/#/reportcard/4254930/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4254930&yearId=10,GUJARAT,SABAR KANTHA,23.5000000,73.2500000
"JAWAHAR NAVODAYA VIDYALAYA KATNI, BADWARA",4008055,12,https://kys.udiseplus.gov.in/#/reportcard/4008055/12,https://kys.udiseplus.gov.in/#/reportcard/4008055/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4008055&yearId=10,MADHYA PRADESH,KATNI,23.7176393,80.2610181
"JAWAHAR NAVODAYA VIDYALAYA MANDLA, MANDLA",3993861,12,https://kys.udiseplus.gov.in/#/reportcard/3993861/12,https://kys.udiseplus.gov.in/#/reportcard/3993861/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=3993861&yearId=10,MADHYA PRADESH,MANDLA,22.6871074,80.5816341
"JAWAHAR NAVODAYA VIDYALAYA DINDORI, DINDORI",4021264,12,https://kys.udiseplus.gov.in/#/reportcard/4021264/12,https://kys.udiseplus.gov.in/#/reportcard/4021264/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4021264&yearId=10,MADHYA PRADESH,DINDORI,22.9070871,80.8846924
"JAWAHAR NAVODAYA VIDYALAYA NARSINGHPUR, CHHAWARPATHA",4034067,12,https://kys.udiseplus.gov.in/#/reportcard/4034067/12,https://kys.udiseplus.gov.in/#/reportcard/4034067/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4034067&yearId=10,MADHYA PRADESH,NARSIMHAPUR,22.9166670,79.1666670
